adress,price,property type,type of sale, number of rooms, garden, surface area of the plot of land, living area, furnished, terrace, fully equiped kitchen, swimmingpool, states of building, open fire
"RuedesJardins52,4500Huy,BE",239500€,Maison,normal sale,4,No,0.95 are,140 m²,No,Yes,No,No,old property,No informations
"RueFernandLacroix,4520Antheit,BE",239500€,Maison,normal sale,3,No,5.25 ares,130 m²,No,Yes,No,No,old property,No informations
"Palinckstraat93,2100Deurne,BE",239900€,Maison,normal sale,3,Yes/ 0.16are,No information,119 m²,No,No,No,No,old property,No informations
Ask to get the adress,240000€,Maison,normal sale,2,No,7.55 ares,157 m²,No,No,No,No,old property,No informations
"RueduVieux-Marché68/03,6690Vielsalm,BE",243500€,Maison,normal sale,2,No,No information,82 m²,No,No,No,No,old property,No informations
"Beukenlaan4,9520SintLievensHoutem,BE",245000€,Maison,normal sale,4,No,No information,198 m²,No,Yes,No,No,old property,No informations
"Molenstraat1,8430Middelkerke,BE",245000€,Maison,normal sale,2,No,No information,,No,Yes,Yes,No,old property,No informations
"Stationsstraat66,9890Asper,BE",245000€,Maison,normal sale,2,No,0.88 are,,No,Yes,Yes,No,New,No informations
Ask to get the adress,245000€,Maison,normal sale,3,No,No information,140 m²,No,Yes,No,No,old property,No informations
"Kelderstraat9,2000Anvers,BE",245000€,Maison,normal sale,1,No,No information,52 m²,Yes,Yes,No,No,old property,No informations
"FransdePeuterstraat213,2950Kapellen,BE",247000€,Maison,normal sale,2,No,No information,125 m²,No,Yes,No,No,old property,No informations
Ask to get the adress,247000€,Maison,normal sale,2,No,No information,90 m²,No,Yes,No,No,old property,No informations
Ask to get the adress,247000€,Maison,normal sale,2,No,No information,90 m²,No,Yes,No,No,old property,No informations
"Picardstraat11,1000Bruxelles,BE",247000€,Maison,normal sale,1,No,No information,,No,No,Yes,No,New,No informations
Ask to get the adress,249000€,Maison,normal sale,1,No,No information,140 m²,No,Yes,No,No,old property,No informations
"Frankrijklei160,2000Anvers,BE",249500€,Maison,normal sale,2,No,No information,,No,No,Yes,No,old property,No informations
"RuedeLeumont42,4520Antheit,BE",249500€,Maison,normal sale,3,Yes/ 14.57ares,15.82 ares,185 m²,No,No,No,No,old property,No informations
"KarelLodewijkLedeganckstraat40,9600Renaix,BE",249500€,Maison,normal sale,3,No,1.5 are,120 m²,No,Yes,Yes,No,New,No informations
"KoningLeopoldIIIPlein15,8370Blankenberge,BE",250000€,Maison,normal sale,2,No,No information,80 m²,No,Yes,No,No,old property,No informations
"HilariusBertolfstraat93,9050Ledeberg,BE",250000€,Maison,normal sale,5,No,0.8 are,,No,No,Yes,No,old property,No informations
"Sint-Lievenslaan116,9000Gand,BE",250000€,Maison,normal sale,2,No,No information,92 m²,No,Yes,No,No,old property,No informations
"Schijfstraat39,2020Anvers,BE",255000€,Maison,normal sale,4,Yes/ 1.5are,2.6 ares,190 m²,No,No,No,No,old property,No informations
